武汉,2012-01-01,161,可吸入颗粒物,Ⅲ2,轻度污染	
武汉,2012-04-01,78,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-02,76,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-03,85,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-04,87,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-05,66,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-06,96,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-07,97,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-08,102,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-04-09,66,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-10,63,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-11,55,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-12,71,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-13,38,--,Ⅰ,优	
武汉,2012-04-14,72,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-15,69,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-16,69,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-17,92,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-18,107,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-04-19,100,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-20,88,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-21,44,--,Ⅰ,优	
武汉,2012-04-22,76,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-23,69,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-24,59,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-25,31,--,Ⅰ,优	
武汉,2012-04-26,94,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-27,95,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-28,93,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-29,60,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-30,96,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-01,26,--,Ⅰ,优	
武汉,2012-05-02,25,--,Ⅰ,优	
武汉,2012-05-03,51,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-04,61,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-05,81,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-06,99,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-07,83,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-08,59,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-09,54,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-10,56,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-11,77,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-12,64,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-13,58,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-14,66,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-15,52,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-16,64,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-17,78,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-18,92,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-19,62,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-20,45,--,Ⅰ,优	
武汉,2012-05-21,46,--,Ⅰ,优	
武汉,2012-05-22,61,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-23,55,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-24,57,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-25,55,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-26,70,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-27,79,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-28,89,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-29,74,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-30,60,可吸入颗粒物,Ⅱ,良	
武汉,2012-05-31,65,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-01,55,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-02,63,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-03,64,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-04,60,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-05,76,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-06,78,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-07,55,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-08,58,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-09,55,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-10,58,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-11,76,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-12,233,可吸入颗粒物,Ⅳ1,中度污染	
武汉,2012-06-13,122,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-06-14,100,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-15,105,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-06-16,139,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-06-17,87,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-18,66,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-19,78,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-20,73,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-21,73,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-22,77,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-23,54,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-24,57,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-25,61,可吸入颗粒物,Ⅱ,良	
武汉,2012-06-26,48,--,Ⅰ,优	
武汉,2012-06-27,21,--,Ⅰ,优	
武汉,2012-06-28,22,--,Ⅰ,优	
武汉,2012-06-29,47,--,Ⅰ,优	
武汉,2012-06-30,56,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-01,56,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-02,51,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-03,43,--,Ⅰ,优	
武汉,2012-07-04,42,--,Ⅰ,优	
武汉,2012-07-05,48,--,Ⅰ,优	
武汉,2012-07-06,63,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-07,53,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-08,45,--,Ⅰ,优	
武汉,2012-07-09,45,--,Ⅰ,优	
武汉,2012-07-10,53,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-11,64,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-12,60,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-13,29,--,Ⅰ,优	
武汉,2012-07-14,23,--,Ⅰ,优	
武汉,2012-07-15,45,--,Ⅰ,优	
武汉,2012-07-16,68,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-17,58,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-18,55,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-19,72,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-20,52,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-21,48,--,Ⅰ,优	
武汉,2012-07-22,62,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-23,54,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-24,47,--,Ⅰ,优	
武汉,2012-07-25,46,--,Ⅰ,优	
武汉,2012-07-26,51,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-26,51,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-27,55,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-28,56,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-29,55,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-30,58,可吸入颗粒物,Ⅱ,良	
武汉,2012-07-31,58,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-01,63,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-02,54,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-03,62,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-04,68,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-05,40,--,Ⅰ,优	
武汉,2012-08-06,42,--,Ⅰ,优	
武汉,2012-08-07,43,--,Ⅰ,优	
武汉,2012-08-08,64,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-09,53,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-10,61,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-11,38,--,Ⅰ,优	
武汉,2012-08-12,46,--,Ⅰ,优	
武汉,2012-08-13,50,--,Ⅰ,优	
武汉,2012-08-14,38,--,Ⅰ,优	
武汉,2012-08-15,54,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-16,61,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-17,69,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-18,71,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-19,61,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-20,53,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-21,44,--,Ⅰ,优	
武汉,2012-08-22,26,--,Ⅰ,优	
武汉,2012-08-23,42,--,Ⅰ,优	
武汉,2012-08-24,47,--,Ⅰ,优	
武汉,2012-08-25,62,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-26,57,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-27,27,--,Ⅰ,优	
武汉,2012-08-28,28,--,Ⅰ,优	
武汉,2012-08-29,62,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-30,87,可吸入颗粒物,Ⅱ,良	
武汉,2012-08-31,85,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-01,88,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-02,67,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-03,36,--,Ⅰ,优	
武汉,2012-09-04,51,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-05,66,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-06,71,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-07,78,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-08,85,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-09,32,--,Ⅰ,优	
武汉,2012-09-10,35,--,Ⅰ,优	
武汉,2012-09-11,64,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-12,45,--,Ⅰ,优	
武汉,2012-09-13,34,--,Ⅰ,优	
武汉,2012-09-14,65,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-15,69,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-16,62,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-17,62,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-18,83,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-19,119,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-09-20,105,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-09-21,89,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-22,49,--,Ⅰ,优	
武汉,2012-09-23,75,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-24,81,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-25,74,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-26,87,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-27,85,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-28,71,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-29,72,可吸入颗粒物,Ⅱ,良	
武汉,2012-09-30,67,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-01,97,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-02,85,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-03,88,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-04,122,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-10-05,135,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-10-06,70,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-07,143,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-10-08,135,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-10-09,129,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-10-10,109,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-10-11,143,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-10-12,85,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-13,99,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-14,105,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-10-15,111,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-10-16,70,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-17,64,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-18,75,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-19,81,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-20,111,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-10-21,100,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-22,71,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-23,75,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-24,85,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-25,65,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-26,64,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-27,61,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-28,100,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-29,92,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-30,72,可吸入颗粒物,Ⅱ,良	
武汉,2012-10-31,78,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-01,98,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-02,77,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-03,88,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-04,54,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-05,76,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-06,66,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-07,96,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-08,86,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-09,74,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-10,64,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-11,66,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-12,81,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-13,82,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-14,99,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-15,83,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-16,85,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-17,67,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-18,86,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-19,106,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-11-20,114,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-11-21,98,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-22,78,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-23,57,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-24,73,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-25,55,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-26,49,--,Ⅰ,优	
武汉,2012-11-27,86,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-28,95,可吸入颗粒物,Ⅱ,良	
武汉,2012-11-29,134,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-12-01,79,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-02,57,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-03,71,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-04,128,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-12-05,142,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-12-06,99,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-07,120,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-12-08,137,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-12-09,113,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-12-10,84,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-11,73,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-12,103,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-12-13,91,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-14,65,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-15,61,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-16,60,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-17,62,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-18,44,--,Ⅰ,优	
武汉,2012-12-19,58,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-20,61,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-21,55,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-22,83,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-23,90,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-24,102,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-12-25,116,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-12-26,100,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-28,69,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-29,66,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-30,69,可吸入颗粒物,Ⅱ,良	
武汉,2012-12-31,63,可吸入颗粒物,Ⅱ,良	
