Date	IE	Chrome	Firefox	Safari	Opera
12-Feb-5	35.07	28.11	24.77	10.48	1.46
12-Feb-6	39.38	25.85	24.3	9.14	1.22
12-Feb-7	39.54	25.76	24.28	9.06	1.24
12-Feb-8	39.16	26.15	24.32	9.04	1.24
12-Feb-9	39.54	25.86	24.35	8.92	1.23
12-Feb-10	39.39	25.74	24.66	8.78	1.33
12-Feb-11	34.62	28.34	24.99	10.43	1.53
12-Feb-12	34.47	28.15	25.07	10.56	1.64
12-Feb-13	39.22	25.66	24.63	8.97	1.42
12-Feb-14	38.97	25.79	24.88	8.8	1.45
